LT,KM,KT,LB,Price,Kota/Kab,Provinsi,Type
511,5,5,300,4.000.000.000,Banda Aceh Kota,Aceh D.I.,Rumah
500,3,3,550,5.500.000.000,Manado Kota,Sulawesi Utara,Rumah
500,4,5,380,10.000.000.000,Medan Kota,Sumatra Utara,Rumah
500,4,4,400,15.000.000.000,Denpasar Kota,Bali,Rumah
500,4,5,300,15.000.000.000,Jakarta Selatan,Jakarta D.K.I.,Rumah
500,3,3,275,9.000.000.000,Kab. Badung,Bali,Rumah
500,5,5,800,10.000.000.000,Bulukumba Kab.,Sulawesi Selatan,Rumah
500,5,5,600,9.600.000.000,Makassar Kota,Sulawesi Selatan,Rumah
500,1,3,90,800.000.000,Pekanbaru Kota,Riau,Rumah
500,3,3,350,2.000.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
500,2,2,249,2.500.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
500,4,6,300,1.300.000.000,Mataram Kota,Nusa Tenggara Barat,Rumah
500,3,10,475,4.500.000.000,Banjarbaru Kota,Kalimantan Selatan,Rumah
500,4,4,120,3.400.000.000,Banjar Kab.,Kalimantan Selatan,Rumah
498,5,7,230,2.000.000.000,Pekanbaru Kota,Riau,Rumah
496,>10,>10,378,3.500.000.000,Lombok Barat Kab.,Nusa Tenggara Barat,Rumah
495,3,3,200,990.000.000,Pekanbaru Kota,Riau,Rumah
495,3,3,198,1.200.000.000,Pekanbaru Kota,Riau,Rumah
494,3,1,308,4.500.000.000,Yogyakarta Kota,Yogyakarta D.I.,Rumah
493,4,5,250,1.900.000.000,Sumatra Selatan,Indonesia,Rumah
490,4,3,255,5.700.000.000,Palembang Kota,Sumatra Selatan,Rumah
490,5,3,390,16.000.000.000,Kab. Badung,Bali,Rumah
490,7,7,400,3.000.000.000,Bandar Lampung Kota,Lampung,Rumah
488,3,5,488,3.500.000.000,Semarang Kota,Jawa Tengah,Rumah
485,5,4,240,1.350.000.000,Padang Kota,Sumatra Barat,Rumah
